icd_version,icd_code,full_code,comorbid_type,description
DIAG-ICD10,O1031,O1031.3,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
DIAG-ICD10,O1031,O1031.9,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester"
DIAG-ICD10,O1032,O1032,ckd,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
DIAG-ICD10,O1033,O1033,ckd,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
DIAG-ICD9,571,571.2,cld,Alcoholic cirrhosis of liver
DIAG-ICD9,571,571.3,cld,"Alcoholic liver damage, unspecified"
DIAG-ICD9,571,571.5,cld,Cirrhosis of liver without mention of alcohol
DIAG-ICD9,571,571.8,cld,Other chronic nonalcoholic liver disease
DIAG-ICD9,571,571.9,cld,Unspecified chronic liver disease without mention of alcohol
DIAG-ICD9,572,572.3,cld,Portal hypertension
DIAG-ICD9,572,572.8,cld,Other sequelae of chronic liver disease
DIAG-ICD9,573,573,cld,Chronic passive congestion of liver
DIAG-ICD9,573,573.5,cld,Hepatopulmonary syndrome
DIAG-ICD10,K703,K703.0,cld,Alcoholic cirrhosis of liver without ascites
DIAG-ICD10,K703,K703.1,cld,Alcoholic cirrhosis of liver with ascites
DIAG-ICD10,K717,K717,cld,Toxic liver disease with fibrosis and cirrhosis of liver
DIAG-ICD10,K74,K74.0,cld,Hepatic fibrosis
DIAG-ICD10,K74,K74.1,cld,Hepatic sclerosis
DIAG-ICD10,K74,K74.2,cld,Hepatic fibrosis with hepatic sclerosis
DIAG-ICD10,K746,K746.0,cld,Unspecified cirrhosis of liver
DIAG-ICD10,K746,K746.9,cld,Other cirrhosis of liver
DIAG-ICD10,P788,P788.1,cld,Congenital cirrhosis (of liver)
DIAG-ICD9,491,491.2,copd,Obstructive chronic bronchitis without exacerbation
DIAG-ICD9,491,491.21,copd,Obstructive chronic bronchitis with (acute) exacerbation
DIAG-ICD9,491,491.22,copd,Obstructive chronic bronchitis with acute bronchitis
DIAG-ICD10,J44,J44.0,copd,Chronic obstructive pulmonary disease with acute lower respiratory infection
DIAG-ICD10,J44,J44.1,copd,Chronic obstructive pulmonary disease with (acute) exacerbation
DIAG-ICD10,J44,J44.9,copd,"Chronic obstructive pulmonary disease, unspecified"
DIAG-ICD9,249,249,dm,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.01,dm,"Secondary diabetes mellitus without mention of complication, uncontrolled"
DIAG-ICD9,249,249.1,dm,"Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.11,dm,"Secondary diabetes mellitus with ketoacidosis, uncontrolled"
DIAG-ICD9,249,249.2,dm,"Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.21,dm,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled"
DIAG-ICD9,249,249.3,dm,"Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.31,dm,"Secondary diabetes mellitus with other coma, uncontrolled"
DIAG-ICD9,249,249.4,dm,"Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.41,dm,"Secondary diabetes mellitus with renal manifestations, uncontrolled"
DIAG-ICD9,249,249.5,dm,"Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.51,dm,"Secondary diabetes mellitus with ophthalmic manifestations, uncontrolled"
DIAG-ICD9,249,249.6,dm,"Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.61,dm,"Secondary diabetes mellitus with neurological manifestations, uncontrolled"
DIAG-ICD9,249,249.7,dm,"Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.71,dm,"Secondary diabetes mellitus with peripheral circulatory disorders, uncontrolled"
DIAG-ICD9,249,249.8,dm,"Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.81,dm,"Secondary diabetes mellitus with other specified manifestations, uncontrolled"
DIAG-ICD9,249,249.9,dm,"Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,249.91,dm,"Secondary diabetes mellitus with unspecified complication, uncontrolled"
DIAG-ICD9,250,250,dm,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.01,dm,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.02,dm,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.03,dm,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.1,dm,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.11,dm,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.12,dm,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.13,dm,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.2,dm,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.21,dm,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.22,dm,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.23,dm,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.3,dm,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.31,dm,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.32,dm,"Diabetes with other coma, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.33,dm,"Diabetes with other coma, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.4,dm,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.41,dm,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.42,dm,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.43,dm,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.5,dm,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.51,dm,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.52,dm,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.53,dm,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.6,dm,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.61,dm,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.62,dm,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.63,dm,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.7,dm,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.71,dm,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.72,dm,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.73,dm,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.8,dm,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.81,dm,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.82,dm,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.83,dm,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,250.9,dm,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,250.91,dm,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,250.92,dm,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,250.93,dm,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled"
DIAG-ICD9,648,648,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
DIAG-ICD9,648,648.01,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
DIAG-ICD9,648,648.02,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
DIAG-ICD9,648,648.03,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
DIAG-ICD9,648,648.04,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
DIAG-ICD10,E080,E080.0,dm,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
DIAG-ICD10,E080,E080.1,dm,Diabetes mellitus due to underlying condition with hyperosmolarity with coma
DIAG-ICD10,E081,E081.0,dm,Diabetes mellitus due to underlying condition with ketoacidosis without coma
DIAG-ICD10,E081,E081.1,dm,Diabetes mellitus due to underlying condition with ketoacidosis with coma
DIAG-ICD10,E082,E082.1,dm,Diabetes mellitus due to underlying condition with diabetic nephropathy
DIAG-ICD10,E082,E082.2,dm,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
DIAG-ICD10,E082,E082.9,dm,Diabetes mellitus due to underlying condition with other diabetic kidney complication
DIAG-ICD10,E0831,E0831.1,dm,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
DIAG-ICD10,E0831,E0831.9,dm,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema
DIAG-ICD10,E08321,E08321.1,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08321,E08321.2,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08321,E08321.3,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08321,E08321.9,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08329,E08329.1,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08329,E08329.2,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye"
DIAG-ICD10,E08329,E08329.3,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
DIAG-ICD10,E08329,E08329.9,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
DIAG-ICD10,E08331,E08331.1,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08331,E08331.2,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08331,E08331.3,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08331,E08331.9,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08339,E08339.1,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08339,E08339.2,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
DIAG-ICD10,E08339,E08339.3,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
DIAG-ICD10,E08339,E08339.9,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
DIAG-ICD10,E08341,E08341.1,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08341,E08341.2,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08341,E08341.3,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08341,E08341.9,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08349,E08349.1,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08349,E08349.2,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye"
DIAG-ICD10,E08349,E08349.3,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
DIAG-ICD10,E08349,E08349.9,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"
DIAG-ICD10,E08351,E08351.1,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08351,E08351.2,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08351,E08351.3,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08351,E08351.9,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08352,E08352.1,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
DIAG-ICD10,E08352,E08352.2,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
DIAG-ICD10,E08352,E08352.3,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
DIAG-ICD10,E08352,E08352.9,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
DIAG-ICD10,E08353,E08353.1,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
DIAG-ICD10,E08353,E08353.2,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
DIAG-ICD10,E08353,E08353.3,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
DIAG-ICD10,E08353,E08353.9,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
DIAG-ICD10,E08354,E08354.1,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
DIAG-ICD10,E08354,E08354.2,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
DIAG-ICD10,E08354,E08354.3,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
DIAG-ICD10,E08354,E08354.9,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
